Date,Description,Principal,Interest,Fees,Total
03/22/2020,PAYMENT,-$220.21,-$57.05,$0.00,-$277.26
02/22/2020,PAYMENT,-$147.96,-$129.30,$0.00,-$277.26
01/08/2020,CAPITALIZED INTEREST,$580.33,-$580.33,$0.00,$0.00
06/22/2019,PAYMENT,-$183.16,-$87.13,$0.00,-$270.29
05/22/2019,PAYMENT,-$185.17,-$85.12,$0.00,-$270.29
04/22/2019,PAYMENT,-$181.50,-$88.79,$0.00,-$270.29
03/22/2019,PAYMENT,-$189.30,-$80.99,$0.00,-$270.29
02/22/2019,PAYMENT,-$179.82,-$90.47,$0.00,-$270.29
01/22/2019,PAYMENT,-$179.02,-$91.27,$0.00,-$270.29
12/22/2018,PAYMENT,-$181.16,-$89.13,$0.00,-$270.29
11/22/2018,PAYMENT,-$177.38,-$92.91,$0.00,-$270.29
10/22/2018,PAYMENT,-$179.60,-$90.69,$0.00,-$270.29
09/22/2018,PAYMENT,-$175.77,-$94.52,$0.00,-$270.29
08/22/2018,PAYMENT,-$174.98,-$95.31,$0.00,-$270.29
07/22/2018,PAYMENT,-$177.27,-$93.02,$0.00,-$270.29
06/22/2018,PAYMENT,-$173.40,-$96.89,$0.00,-$270.29
05/22/2018,PAYMENT,-$175.75,-$94.54,$0.00,-$270.29
04/22/2018,PAYMENT,-$171.81,-$98.48,$0.00,-$270.29
03/22/2018,PAYMENT,-$180.59,-$89.70,$0.00,-$270.29
02/22/2018,PAYMENT,-$170.23,-$100.06,$0.00,-$270.29
01/22/2018,PAYMENT,-$169.46,-$100.83,$0.00,-$270.29
12/22/2017,PAYMENT,-$171.96,-$98.33,$0.00,-$270.29
11/22/2017,PAYMENT,-$167.92,-$102.37,$0.00,-$270.29
10/22/2017,PAYMENT,-$170.48,-$99.81,$0.00,-$270.29
09/22/2017,PAYMENT,-$166.40,-$103.89,$0.00,-$270.29
08/22/2017,PAYMENT,-$165.64,-$104.65,$0.00,-$270.29
07/22/2017,PAYMENT,-$168.29,-$102.00,$0.00,-$270.29
06/22/2017,PAYMENT,-$164.15,-$106.14,$0.00,-$270.29
05/22/2017,PAYMENT,-$166.84,-$103.45,$0.00,-$270.29
04/22/2017,PAYMENT,-$162.67,-$107.62,$0.00,-$270.29
03/22/2017,PAYMENT,-$172.35,-$97.94,$0.00,-$270.29
02/22/2017,PAYMENT,-$161.15,-$109.14,$0.00,-$270.29
01/22/2017,PAYMENT,-$160.42,-$109.87,$0.00,-$270.29
12/22/2016,PAYMENT,-$163.23,-$107.06,$0.00,-$270.29
11/22/2016,PAYMENT,-$72.36,-$197.93,$0.00,-$270.29
10/17/2016,PAYMENT,-$2.97,-$267.32,$0.00,-$270.29
09/17/2016,CAPITALIZED INTEREST,$189.31,-$189.31,$0.00,$0.00
07/19/2016,CAPITALIZED INTEREST,$0.00,$0.00,$0.00,$0.00
05/29/2016,PAYMENT,-$131.37,-$134.32,$0.00,-$265.69
04/23/2016,PAYMENT,-$37.80,-$227.89,$0.00,-$265.69
02/22/2016,CAPITALIZED INTEREST,"$3,191.80","-$3,191.80",$0.00,$0.00
04/06/2015,DISBURSEMENT,"$2,500.00",$0.00,$0.00,"$2,500.00"
01/05/2015,DISBURSEMENT,"$2,500.00",$0.00,$0.00,"$2,500.00"
09/22/2014,DISBURSEMENT,"$2,500.00",$0.00,$0.00,"$2,500.00"
04/07/2014,DISBURSEMENT,"$1,166.00",$0.00,$0.00,"$1,166.00"
01/06/2014,DISBURSEMENT,"$1,167.00",$0.00,$0.00,"$1,167.00"
10/14/2013,DISBURSEMENT,"$1,167.00",$0.00,$0.00,"$1,167.00"
03/25/2013,DISBURSEMENT,"$1,500.00",$0.00,$0.00,"$1,500.00"
12/24/2012,DISBURSEMENT,"$1,500.00",$0.00,$0.00,"$1,500.00"
12/05/2012,DISBURSEMENT,"$1,500.00",$0.00,$0.00,"$1,500.00"
03/21/2012,DISBURSEMENT,"$1,833.00",$0.00,$0.00,"$1,833.00"
12/28/2011,DISBURSEMENT,"$1,833.00",$0.00,$0.00,"$1,833.00"
09/21/2011,DISBURSEMENT,"$1,834.00",$0.00,$0.00,"$1,834.00"
