Date,Description,Comments,Check Number,Amount,Balance
5/27/2020,POS CIRCLE K x6037 3957 W VAN GIESEN      RICHLAND     WAUS,,,($31.63),"$11,168.27 "
5/27/2020,POS FRED-MEYER #0286 FRED MEYER 286         RICHLAND     WAUS,,,($448.00),"$11,199.90 "
5/26/2020,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($23.86),"$11,647.90 "
5/26/2020,POS  CHIPOTLE 2573          KENNEWICK    WAUS,,,($19.87),"$11,671.76 "
5/26/2020,POS SUPER SUPPLEMENT 5200 W CLEARWATER A    KENNEWICK    WAUS,,,($63.47),"$11,691.63 "
5/23/2020,ATM Withdrawal GESA CREDIT UNION 4755 PARADISE WAY WU   WEST RICHLANDWAUS,,,($100.00),"$11,755.10 "
5/22/2020,External Deposit INTERA  - PAYROLL,,,"$1,803.34 ","$11,855.10 "
5/20/2020,Withdrawal Transfer to x4978,,,($75.00),"$10,051.76 "
5/20/2020,External Withdrawal WEB - UAS  - x6227  NM103*EUAS DEBIT-     x3085\,,,($202.84),"$10,126.76 "
5/20/2020,POS  YOKES WEST RICHLAND    W. RICHLAND  WAUS,,,($38.00),"$10,329.60 "
5/19/2020,POS FRED-MEYER #0286 FRED MEYER 286         RICHLAND     WAUS,,,($266.36),"$10,367.60 "
5/18/2020,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($6.49),"$10,633.96 "
5/17/2020,POS FRED-MEYER #0163 FRED MEYER 163         KENNEWICK    WAUS,,,($255.48),"$10,640.45 "
5/16/2020,POS MAVERIK #448 3520 KEENE ROAD        RICHLAND     WAUS,,,($9.00),"$10,895.93 "
5/15/2020,POS  AMZN Mktp US*MC6GJ0RM1 Amzn.com/billWAUS,,,($44.29),"$10,904.93 "
5/15/2020,POS  AMAZON.COM             SEATTLE      WAUS,,,($13.99),"$10,949.22 "
5/14/2020,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($16.28),"$10,963.21 "
5/14/2020,POS  APPLE.COM/BILL         408-974-1010 CAUS,,,($1.08),"$10,979.49 "
5/13/2020,POS  COSTCO WHSE #0486      KENNEWICK    WAUS,,,($468.85),"$10,980.57 "
5/13/2020,ATM Withdrawal GESA CREDIT UNION 4755 PARADISE WAY WU   WEST RICHLANDWAUS,,,($100.00),"$11,449.42 "
5/11/2020,POS FRED-MEYER #0286 FRED MEYER 286         RICHLAND     WAUS,,,($369.96),"$11,549.42 "
5/11/2020,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($5.00),"$11,919.38 "
5/9/2020,ATM Withdrawal GESA CREDIT UNION 4755 PARADISE WAY WU   WEST RICHLANDWAUS,,,($100.00),"$11,924.38 "
5/8/2020,External Deposit INTERA  - PAYROLL,,,"$1,803.35 ","$12,024.38 "
5/6/2020,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($1.08),"$10,221.03 "
5/6/2020,POS  CHIPOTLE 2573          KENNEWICK    WAUS,,,($8.42),"$10,222.11 "
5/3/2020,POS  MAVERIK #448           RICHLAND     WAUS,,,($31.71),"$10,230.53 "
5/2/2020,POS MAVERIK #448 3520 KEENE ROAD        RICHLAND     WAUS,,,($6.00),"$10,262.24 "
5/2/2020,POS  RichlandAirportMiniStorRICHLAND     WAUS,,,($115.00),"$10,268.24 "
