"Effective Date","Description","Amount","Fees","Interest","Principal"
"August 31, 2021","Interest Accrual","$28.10","$0.00","$28.10","$0.00"
"August 23, 2021","Interest Accrual","$7.03","$0.00","$7.03","$0.00"
"August 21, 2021","Interest Accrual","$10.54","$0.00","$10.54","$0.00"
"August 19, 2021","Payment Received via ACH - Thank You!","($184.06)","$0.00","($109.30)","($74.76)"
"August 19, 2021","Interest Accrual","$63.46","$0.00","$63.46","$0.00"
"July 31, 2021","Interest Accrual","$28.21","$0.00","$28.21","$0.00"
"July 23, 2021","Interest Accrual","$7.05","$0.00","$7.05","$0.00"
"July 21, 2021","Interest Accrual","$10.58","$0.00","$10.58","$0.00"
"July 19, 2021","Payment Received via ACH - Thank You!","($184.06)","$0.00","($106.15)","($77.91)"
"July 19, 2021","Interest Accrual","$63.69","$0.00","$63.69","$0.00"
"June 30, 2021","Interest Accrual","$24.77","$0.00","$24.77","$0.00"
"June 23, 2021","Interest Accrual","$7.08","$0.00","$7.08","$0.00"
"June 21, 2021","Interest Accrual","$10.61","$0.00","$10.61","$0.00"
"June 19, 2021","Payment Received via ACH - Thank You!","($184.06)","$0.00","($110.07)","($73.99)"
"June 19, 2021","Interest Accrual","$63.91","$0.00","$63.91","$0.00"
"May 31, 2021","Interest Accrual","$28.41","$0.00","$28.41","$0.00"
"May 23, 2021","Interest Accrual","$7.10","$0.00","$7.10","$0.00"
"May 21, 2021","Interest Accrual","$10.65","$0.00","$10.65","$0.00"
"May 19, 2021","Payment Received via ACH - Thank You!","($184.06)","$0.00","($106.90)","($77.16)"
"May 19, 2021","Interest Accrual","$64.14","$0.00","$64.14","$0.00"
"April 30, 2021","Interest Accrual","$24.94","$0.00","$24.94","$0.00"
"April 23, 2021","Interest Accrual","$7.13","$0.00","$7.13","$0.00"
"April 21, 2021","Interest Accrual","$10.69","$0.00","$10.69","$0.00"
"April 19, 2021","Payment Received via ACH - Thank You!","($184.06)","$0.00","($110.84)","($73.22)"
"April 19, 2021","Interest Accrual","$64.36","$0.00","$64.36","$0.00"
"March 31, 2021","Interest Accrual","$28.60","$0.00","$28.60","$0.00"
"March 23, 2021","Interest Accrual","$7.15","$0.00","$7.15","$0.00"
"March 21, 2021","Interest Accrual","$10.73","$0.00","$10.73","$0.00"
"March 19, 2021","Payment Received via ACH - Thank You!","($184.06)","$0.00","($100.49)","($83.57)"
"March 19, 2021","Interest Accrual","$64.60","$0.00","$64.60","$0.00"
"February 28, 2021","Interest Accrual","$17.95","$0.00","$17.95","$0.00"
"February 23, 2021","Interest Accrual","$7.17","$0.00","$7.17","$0.00"
"February 21, 2021","Interest Accrual","$10.77","$0.00","$10.77","$0.00"
"February 19, 2021","Payment Received via ACH - Thank You!","($184.06)","$0.00","($111.63)","($72.43)"
"February 19, 2021","Interest Accrual","$64.82","$0.00","$64.82","$0.00"
"January 31, 2021","Interest Accrual","$28.81","$0.00","$28.81","$0.00"
"January 23, 2021","Interest Accrual","$7.20","$0.00","$7.20","$0.00"
"January 21, 2021","Interest Accrual","$10.80","$0.00","$10.80","$0.00"
"January 19, 2021","Payment Received via ACH - Thank You!","($184.06)","$0.00","($111.88)","($72.18)"
"January 19, 2021","Interest Accrual","$65.03","$0.00","$65.03","$0.00"
"December 31, 2020","Interest Accrual","$28.84","$0.00","$28.84","$0.00"
"December 23, 2020","Interest Accrual","$7.20","$0.00","$7.20","$0.00"
"December 21, 2020","Interest Accrual","$10.81","$0.00","$10.81","$0.00"
"December 19, 2020","Payment Received via ACH - Thank You!","($184.06)","$0.00","($108.47)","($75.59)"
"December 19, 2020","Interest Accrual","$90.39","$0.00","$90.39","$0.00"
"November 23, 2020","Interest Accrual","$7.23","$0.00","$7.23","$0.00"
"November 21, 2020","Interest Accrual","$10.85","$0.00","$10.85","$0.00"
"November 19, 2020","Payment Received via ACH - Thank You!","($184.06)","$0.00","($108.82)","($75.24)"
"November 19, 2020","Interest Accrual","$65.29","$0.00","$65.29","$0.00"
"October 31, 2020","Interest Accrual","$112.69","$0.00","$112.69","$0.00"
"October 19, 2020","Payment Received via ACH - Thank You!","($184.06)","$0.00","($109.20)","($74.86)"
"September 30, 2020","Interest Accrual","$109.42","$0.00","$109.42","$0.00"
"September 19, 2020","Payment Received via ACH - Thank You!","($184.06)","$0.00","($113.20)","($70.86)"
"August 31, 2020","Interest Accrual","$113.42","$0.00","$113.42","$0.00"
"August 19, 2020","Payment Received via ACH - Thank You!","($184.06)","$0.00","($113.56)","($70.50)"
"July 31, 2020","Interest Accrual","$114.68","$0.00","$114.68","$0.00"
"July 19, 2020","Payment Received via ACH - Thank You!","($184.06)","$0.00","($121.23)","($62.83)"
